,sensor mode,resolution,codec,sampling,framerate,160GB,aspect ratio,bit depth,datarate,file format,media type,comment,Unnamed: 12
15,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,50p,133 min,16:9,10 bit,150 Mb/s,MP4,"CFexpress Type A, SD",,
16,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,30p,200 min,16:9,10 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
17,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,25p,200 min,16:9,10 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
18,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,24p,200 min,16:9,10 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
19,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,60p,255 min,16:9,10 bit,75 Mb/s,MP4,"CFexpress Type A, SD",,
20,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,50p,255 min,16:9,10 bit,75 Mb/s,MP4,"CFexpress Type A, SD",,
21,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,30p,366 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
22,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,25p,366 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
23,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,24p,366 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
24,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,60p,401 min,16:9,10 bit,45 Mb/s,MP4,"CFexpress Type A, SD",,
25,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,50p,401 min,16:9,10 bit,45 Mb/s,MP4,"CFexpress Type A, SD",,
26,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,30p,605 min,16:9,10 bit,30 Mb/s,MP4,"CFexpress Type A, SD",,
27,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,25p,605 min,16:9,10 bit,30 Mb/s,MP4,"CFexpress Type A, SD",,
28,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,24p,605 min,16:9,10 bit,30 Mb/s,MP4,"CFexpress Type A, SD",,
29,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:2,120p,71 min,16:9,10 bit,280 Mb/s,MP4,"CFexpress Type A, SD",,
30,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:2,100p,71 min,16:9,10 bit,280 Mb/s,MP4,"CFexpress Type A, SD",,
31,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:2,60p,101 min,16:9,10 bit,200 Mb/s,MP4,"CFexpress Type A, SD",,
32,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:2,50p,101 min,16:9,10 bit,200 Mb/s,MP4,"CFexpress Type A, SD",,
33,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:2,30p,142 min,16:9,10 bit,140 Mb/s,MP4,"CFexpress Type A, SD",,
34,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:2,25p,142 min,16:9,10 bit,140 Mb/s,MP4,"CFexpress Type A, SD",,
35,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:2,24p,199 min,16:9,10 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
36,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,120p,101 min,16:9,8 bit,200 Mb/s,MP4,"CFexpress Type A, SD",,
37,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,100p,101 min,16:9,8 bit,200 Mb/s,MP4,"CFexpress Type A, SD",,
38,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,60p,133 min,16:9,8 bit,150 Mb/s,MP4,"CFexpress Type A, SD",,
39,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,50p,133 min,16:9,8 bit,150 Mb/s,MP4,"CFexpress Type A, SD",,
40,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,30p,199 min,16:9,8 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
41,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,25p,199 min,16:9,8 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
42,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,24p,199 min,16:9,8 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
43,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,30p,311 min,16:9,8 bit,60 Mb/s,MP4,"CFexpress Type A, SD",,
44,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,25p,311 min,16:9,8 bit,60 Mb/s,MP4,"CFexpress Type A, SD",,
45,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,24p,311 min,16:9,8 bit,60 Mb/s,MP4,"CFexpress Type A, SD",,
46,Full Format,4K UHD (3840 x 2160),XAVC S-I 4K,4:2:2,60p,34 min,16:9,10 bit,600 Mb/s,MP4,CFexpress Type A,,
47,Full Format,4K UHD (3840 x 2160),XAVC S-I 4K,4:2:2,50p,41 min,16:9,10 bit,500 Mb/s,MP4,CFexpress Type A,,
48,Full Format,4K UHD (3840 x 2160),XAVC S-I 4K,4:2:2,30p,68 min,16:9,10 bit,300 Mb/s,MP4,"CFexpress Type A, SD",,
49,Full Format,4K UHD (3840 x 2160),XAVC S-I 4K,4:2:2,25p,82 min,16:9,10 bit,250 Mb/s,MP4,"CFexpress Type A, SD",,
50,Full Format,4K UHD (3840 x 2160),XAVC S-I 4K,4:2:2,24p,85 min,16:9,10 bit,240 Mb/s,MP4,"CFexpress Type A, SD",,
